Zip Code,City,State,2010 Population
01001,AGAWAM,MA,16769
01002,AMHERST,MA,29049
01003,AMHERST,MA,10372
01005,BARRE,MA,5079
01007,BELCHERTOWN,MA,14649
01008,BLANDFORD,MA,1263
01009,BONDSVILLE,MA,741
01010,BRIMFIELD,MA,3609
01011,CHESTER,MA,1370
01012,CHESTERFIELD,MA,661
01013,CHICOPEE,MA,23188
01020,CHICOPEE,MA,29668
01022,CHICOPEE,MA,2451
01026,CUMMINGTON,MA,946
01027,EASTHAMPTON,MA,17660
01028,EAST LONGMEADOW,MA,15720
01029,EAST OTIS,MA,789
01030,FEEDING HILLS,MA,11669
01031,GILBERTVILLE,MA,1308
01032,GOSHEN,MA,570
01033,GRANBY,MA,6227
01034,GRANVILLE,MA,2021
01035,HADLEY,MA,5250
01036,HAMPDEN,MA,5109
01037,HARDWICK,MA,838
01038,HATFIELD,MA,2545
01039,HAYDENVILLE,MA,1336
01040,HOLYOKE,MA,39880
01050,HUNTINGTON,MA,2530
01053,LEEDS,MA,1685
01054,LEVERETT,MA,1851
01056,LUDLOW,MA,21103
01057,MONSON,MA,8534
01060,NORTHAMPTON,MA,15284
01062,FLORENCE,MA,11150
01063,NORTHAMPTON,MA,430
01066,NORTH HATFIELD,MA,64
01068,OAKHAM,MA,1902
01069,PALMER,MA,8469
01070,PLAINFIELD,MA,629
01071,RUSSELL,MA,1596
01072,SHUTESBURY,MA,1478
01073,SOUTHAMPTON,MA,5792
01074,SOUTH BARRE,MA,319
01075,SOUTH HADLEY,MA,17527
01077,SOUTHWICK,MA,9502
01079,THORNDIKE,MA,692
01080,THREE RIVERS,MA,2334
01081,WALES,MA,1698
01082,WARE,MA,10322
01083,WARREN,MA,2888
01084,WEST CHESTERFIELD,MA,176
01085,WESTFIELD,MA,41117
01086,WESTFIELD,MA,687
01088,WEST HATFIELD,MA,670
01089,WEST SPRINGFIELD,MA,28391
01092,WEST WARREN,MA,1394
01093,WHATELY,MA,325
01094,WHEELWRIGHT,MA,351
01095,WILBRAHAM,MA,14319
01096,WILLIAMSBURG,MA,2217
01097,WORONOCO,MA,111
01098,WORTHINGTON,MA,1101
01103,SPRINGFIELD,MA,2479
01104,SPRINGFIELD,MA,22865
01105,SPRINGFIELD,MA,12350
01106,LONGMEADOW,MA,16021
01107,SPRINGFIELD,MA,11611
01108,SPRINGFIELD,MA,26688
01109,SPRINGFIELD,MA,30250
01118,SPRINGFIELD,MA,14071
01119,SPRINGFIELD,MA,14152
01128,SPRINGFIELD,MA,2631
01129,SPRINGFIELD,MA,7019
01151,INDIAN ORCHARD,MA,8698
01199,SPRINGFIELD,MA,0
01201,PITTSFIELD,MA,46504
01220,ADAMS,MA,8603
01222,ASHLEY FALLS,MA,829
01223,BECKET,MA,2314
01224,BERKSHIRE,MA,182
01225,CHESHIRE,MA,3117
01226,DALTON,MA,6945
01229,GLENDALE,MA,95
01230,GREAT BARRINGTON,MA,8430
01235,HINSDALE,MA,2766
01236,HOUSATONIC,MA,1509
01237,LANESBORO,MA,2496
01238,LEE,MA,6047
01240,LENOX,MA,4534
01242,LENOX DALE,MA,476
01243,MIDDLEFIELD,MA,334
01244,MILL RIVER,MA,151
01245,MONTEREY,MA,985
01247,NORTH ADAMS,MA,16087
01253,OTIS,MA,731
01254,RICHMOND,MA,972
01255,SANDISFIELD,MA,915
01256,SAVOY,MA,692
01257,SHEFFIELD,MA,2121
01258,SOUTH EGREMONT,MA,374
01259,SOUTHFIELD,MA,635
01260,SOUTH LEE,MA,240
01262,STOCKBRIDGE,MA,1238
01264,TYRINGHAM,MA,137
01266,WEST STOCKBRIDGE,MA,1463
01267,WILLIAMSTOWN,MA,7989
01270,WINDSOR,MA,778
01301,GREENFIELD,MA,17700
01330,ASHFIELD,MA,1506
01331,ATHOL,MA,13263
01337,BERNARDSTON,MA,2596
01338,BUCKLAND,MA,187
01339,CHARLEMONT,MA,1438
01340,COLRAIN,MA,1701
01341,CONWAY,MA,1833
01342,DEERFIELD,MA,1492
01343,DRURY,MA,75
01344,ERVING,MA,1498
01346,HEATH,MA,533
01347,LAKE PLEASANT,MA,166
01349,MILLERS FALLS,MA,1091
01350,MONROE BRIDGE,MA,121
01351,MONTAGUE,MA,2270
01354,GILL,MA,1500
01355,NEW SALEM,MA,878
01360,NORTHFIELD,MA,3032
01364,ORANGE,MA,7969
01366,PETERSHAM,MA,1277
01367,ROWE,MA,522
01368,ROYALSTON,MA,1261
01370,SHELBURNE FALLS,MA,4084
01373,SOUTH DEERFIELD,MA,4600
01375,SUNDERLAND,MA,3684
01376,TURNERS FALLS,MA,5247
01378,WARWICK,MA,774
01379,WENDELL,MA,813
01420,FITCHBURG,MA,40337
01430,ASHBURNHAM,MA,6089
01431,ASHBY,MA,3074
01432,AYER,MA,7089
01434,DEVENS,MA,1795
01436,BALDWINVILLE,MA,3336
01438,EAST TEMPLETON,MA,559
01440,GARDNER,MA,20347
01450,GROTON,MA,10646
01451,HARVARD,MA,4747
01452,HUBBARDSTON,MA,4382
01453,LEOMINSTER,MA,40883
01460,LITTLETON,MA,8924
01462,LUNENBURG,MA,10086
01463,PEPPERELL,MA,11497
01464,SHIRLEY,MA,7211
01467,STILL RIVER,MA,316
01468,TEMPLETON,MA,4021
01469,TOWNSEND,MA,6801
01473,WESTMINSTER,MA,7277
01474,WEST TOWNSEND,MA,2125
01475,WINCHENDON,MA,10270
01501,AUBURN,MA,16075
01503,BERLIN,MA,2866
01504,BLACKSTONE,MA,9026
01505,BOYLSTON,MA,4355
01506,BROOKFIELD,MA,3390
01507,CHARLTON,MA,12981
01510,CLINTON,MA,13606
01515,EAST BROOKFIELD,MA,2183
01516,DOUGLAS,MA,8500
01518,FISKDALE,MA,2974
01519,GRAFTON,MA,6595
01520,HOLDEN,MA,13997
01521,HOLLAND,MA,2481
01522,JEFFERSON,MA,3310
01523,LANCASTER,MA,7582
01524,LEICESTER,MA,6696
01525,LINWOOD,MA,290
01527,MILLBURY,MA,13246
01529,MILLVILLE,MA,3190
01531,NEW BRAINTREE,MA,999
01532,NORTHBOROUGH,MA,14155
01534,NORTHBRIDGE,MA,5631
01535,NORTH BROOKFIELD,MA,4680
01536,NORTH GRAFTON,MA,6888
01537,NORTH OXFORD,MA,2248
01540,OXFORD,MA,11291
01541,PRINCETON,MA,3413
01542,ROCHDALE,MA,2202
01543,RUTLAND,MA,7973
01545,SHREWSBURY,MA,35299
01550,SOUTHBRIDGE,MA,16719
01560,SOUTH GRAFTON,MA,4527
01561,SOUTH LANCASTER,MA,330
01562,SPENCER,MA,11688
01564,STERLING,MA,7808
01566,STURBRIDGE,MA,6294
01568,UPTON,MA,7480
01569,UXBRIDGE,MA,13569
01570,WEBSTER,MA,16767
01571,DUDLEY,MA,11390
01581,WESTBOROUGH,MA,18272
01583,WEST BOYLSTON,MA,7591
01585,WEST BROOKFIELD,MA,4554
01588,WHITINSVILLE,MA,9733
01590,SUTTON,MA,8875
01602,WORCESTER,MA,22819
01603,WORCESTER,MA,19916
01604,WORCESTER,MA,34677
01605,WORCESTER,MA,26221
01606,WORCESTER,MA,19077
01607,WORCESTER,MA,8351
01608,WORCESTER,MA,3888
01609,WORCESTER,MA,22421
01610,WORCESTER,MA,23945
01611,CHERRY VALLEY,MA,2242
01612,PAXTON,MA,4845
01701,FRAMINGHAM,MA,31217
01702,FRAMINGHAM,MA,37206
01718,VILLAGE OF NAGOG WOODS,MA,469
01719,BOXBOROUGH,MA,4996
01720,ACTON,MA,21361
01721,ASHLAND,MA,16593
01730,BEDFORD,MA,13221
01731,HANSCOM AFB,MA,1396
01740,BOLTON,MA,4897
01741,CARLISLE,MA,4852
01742,CONCORD,MA,17726
01745,FAYVILLE,MA,397
01746,HOLLISTON,MA,13547
01747,HOPEDALE,MA,5911
01748,HOPKINTON,MA,14925
01749,HUDSON,MA,19063
01752,MARLBOROUGH,MA,38499
01754,MAYNARD,MA,10106
01756,MENDON,MA,5839
01757,MILFORD,MA,28061
01760,NATICK,MA,32786
01770,SHERBORN,MA,4119
01772,SOUTHBOROUGH,MA,9370
01773,LINCOLN,MA,5112
01775,STOW,MA,6590
01776,SUDBURY,MA,17659
01778,WAYLAND,MA,13109
01801,WOBURN,MA,38903
01803,BURLINGTON,MA,24487
01810,ANDOVER,MA,33201
01821,BILLERICA,MA,30310
01824,CHELMSFORD,MA,24911
01826,DRACUT,MA,29422
01827,DUNSTABLE,MA,3179
01830,HAVERHILL,MA,25137
01832,HAVERHILL,MA,22060
01833,GEORGETOWN,MA,8183
01834,GROVELAND,MA,6459
01835,HAVERHILL,MA,13682
01840,LAWRENCE,MA,4733
01841,LAWRENCE,MA,47225
01843,LAWRENCE,MA,24425
01844,METHUEN,MA,47249
01845,NORTH ANDOVER,MA,28352
01850,LOWELL,MA,15237
01851,LOWELL,MA,30190
01852,LOWELL,MA,33508
01854,LOWELL,MA,27606
01860,MERRIMAC,MA,6338
01862,NORTH BILLERICA,MA,10227
01863,NORTH CHELMSFORD,MA,8891
01864,NORTH READING,MA,14892
01867,READING,MA,23956
01876,TEWKSBURY,MA,28667
01879,TYNGSBORO,MA,11305
01880,WAKEFIELD,MA,24733
01886,WESTFORD,MA,21951
01887,WILMINGTON,MA,22325
01890,WINCHESTER,MA,21382
01901,LYNN,MA,1689
01902,LYNN,MA,45139
01904,LYNN,MA,18203
01905,LYNN,MA,25251
01906,SAUGUS,MA,26660
01907,SWAMPSCOTT,MA,14027
01908,NAHANT,MA,3410
01913,AMESBURY,MA,16283
01915,BEVERLY,MA,39502
01921,BOXFORD,MA,7961
01922,BYFIELD,MA,3108
01923,DANVERS,MA,26342
01929,ESSEX,MA,3504
01930,GLOUCESTER,MA,28789
01937,HATHORNE,MA,151
01938,IPSWICH,MA,13175
01940,LYNNFIELD,MA,12108
01944,MANCHESTER,MA,5136
01945,MARBLEHEAD,MA,19808
01949,MIDDLETON,MA,8987
01950,NEWBURYPORT,MA,17416
01951,NEWBURY,MA,3558
01952,SALISBURY,MA,8283
01960,PEABODY,MA,50944
01966,ROCKPORT,MA,6952
01969,ROWLEY,MA,5856
01970,SALEM,MA,41109
01982,SOUTH HAMILTON,MA,7764
01983,TOPSFIELD,MA,6089
01984,WENHAM,MA,4875
01985,WEST NEWBURY,MA,4235
02019,BELLINGHAM,MA,16332
02021,CANTON,MA,21561
02025,COHASSET,MA,7542
02026,DEDHAM,MA,24711
02030,DOVER,MA,5589
02032,EAST WALPOLE,MA,4226
02035,FOXBORO,MA,16865
02038,FRANKLIN,MA,31635
02043,HINGHAM,MA,22157
02045,HULL,MA,10293
02047,HUMAROCK,MA,180
02048,MANSFIELD,MA,23184
02050,MARSHFIELD,MA,25429
02052,MEDFIELD,MA,12024
02053,MEDWAY,MA,12752
02054,MILLIS,MA,7891
02056,NORFOLK,MA,10981
02061,NORWELL,MA,10506
02062,NORWOOD,MA,28602
02066,SCITUATE,MA,17656
02067,SHARON,MA,17486
02071,SOUTH WALPOLE,MA,1707
02072,STOUGHTON,MA,26999
02081,WALPOLE,MA,18472
02090,WESTWOOD,MA,14636
02093,WRENTHAM,MA,10955
02108,BOSTON,MA,3825
02109,BOSTON,MA,3771
02110,BOSTON,MA,1733
02111,BOSTON,MA,7383
02113,BOSTON,MA,6915
02114,BOSTON,MA,11999
02115,BOSTON,MA,28441
02116,BOSTON,MA,20628
02118,BOSTON,MA,26498
02119,ROXBURY,MA,25346
02120,ROXBURY CROSSING,MA,15181
02121,DORCHESTER,MA,25978
02122,DORCHESTER,MA,23479
02124,DORCHESTER CENTER,MA,47783
02125,DORCHESTER,MA,33295
02126,MATTAPAN,MA,25562
02127,BOSTON,MA,31799
02128,BOSTON,MA,40508
02129,CHARLESTOWN,MA,16439
02130,JAMAICA PLAIN,MA,35401
02131,ROSLINDALE,MA,29826
02132,WEST ROXBURY,MA,25861
02134,ALLSTON,MA,21503
02135,BRIGHTON,MA,42780
02136,HYDE PARK,MA,28488
02138,CAMBRIDGE,MA,36314
02139,CAMBRIDGE,MA,36349
02140,CAMBRIDGE,MA,17607
02141,CAMBRIDGE,MA,11910
02142,CAMBRIDGE,MA,3141
02143,SOMERVILLE,MA,24514
02144,SOMERVILLE,MA,23891
02145,SOMERVILLE,MA,25439
02148,MALDEN,MA,59503
02149,EVERETT,MA,41550
02150,CHELSEA,MA,35124
02151,REVERE,MA,51808
02152,WINTHROP,MA,17497
02155,MEDFORD,MA,57964
02163,BOSTON,MA,2582
02169,QUINCY,MA,55055
02170,QUINCY,MA,19505
02171,QUINCY,MA,17711
02176,MELROSE,MA,26983
02180,STONEHAM,MA,21437
02184,BRAINTREE,MA,35744
02186,MILTON,MA,27003
02188,WEYMOUTH,MA,14608
02189,EAST WEYMOUTH,MA,14559
02190,SOUTH WEYMOUTH,MA,16119
02191,NORTH WEYMOUTH,MA,8457
02199,BOSTON,MA,1146
02203,BOSTON,MA,0
02210,BOSTON,MA,2090
02215,BOSTON,MA,26125
02301,BROCKTON,MA,61025
